Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,3600.75,3612.83,3600.71,3609.63,000,3609.63
2013-12-30,3608.52,3617.20,3594.94,3600.75,000,3600.75
2013-12-27,3579.71,3609.55,3579.71,3608.52,000,3608.52
2013-12-24,3571.08,3587.07,3568.67,3579.71,000,3579.71
2013-12-23,3535.63,3571.08,3535.49,3571.08,000,3571.08
2013-12-20,3524.38,3541.14,3520.77,3535.63,000,3535.63
2013-12-19,3475.55,3524.38,3475.55,3524.38,000,3524.38
2013-12-18,3471.81,3491.13,3471.80,3475.55,000,3475.55
2013-12-17,3488.99,3488.99,3469.99,3471.81,000,3471.81
2013-12-16,3447.49,3492.42,3439.34,3489.00,000,3489.00
2013-12-13,3448.92,3458.38,3444.00,3447.49,000,3447.49
2013-12-12,3483.13,3483.13,3446.26,3448.92,000,3448.92
2013-12-11,3490.52,3507.21,3483.13,3483.13,000,3483.13
2013-12-10,3505.91,3513.80,3488.08,3490.52,000,3490.52
2013-12-09,3499.80,3509.75,3493.05,3505.91,000,3505.91
2013-12-06,3470.20,3501.77,3470.20,3499.80,000,3499.80
2013-12-05,3474.66,3482.16,3462.93,3470.20,000,3470.20
2013-12-04,3485.34,3491.37,3461.14,3474.66,000,3474.66
2013-12-03,3519.47,3519.52,3485.33,3485.33,000,3485.33
2013-12-02,3548.44,3551.41,3519.47,3519.47,000,3519.47
2013-11-29,3549.06,3563.45,3546.22,3548.45,000,3548.45
2013-11-28,3545.97,3562.38,3544.01,3549.06,000,3549.06
2013-11-27,3536.64,3552.77,3536.58,3545.98,000,3545.98
2013-11-26,3562.23,3564.07,3536.64,3536.64,000,3536.64
2013-11-25,3549.37,3569.49,3549.37,3562.23,000,3562.23
2013-11-22,3551.02,3566.13,3542.25,3549.37,000,3549.37
2013-11-21,3552.38,3559.78,3534.51,3551.02,000,3551.02
2013-11-20,3563.06,3566.79,3544.00,3552.37,000,3552.37
2013-11-19,3575.49,3575.49,3553.28,3563.06,000,3563.06
2013-11-18,3560.76,3579.20,3550.03,3575.49,000,3575.49
2013-11-15,3548.98,3566.67,3548.84,3560.76,000,3560.76
2013-11-14,3529.53,3564.63,3529.53,3548.98,000,3548.98
